merchant_id,date,gross,fee,net,txn_count
merchant_016,2025-01-14,35446164,1062674,34383490,1416
merchant_020,2025-01-14,35860437,1075108,34785329,1412
merchant_004,2025-01-14,34080274,1021713,33058561,1412
merchant_019,2025-01-14,37729116,1131129,36597987,1476
merchant_010,2025-01-14,34964242,1048217,33916025,1420
merchant_018,2025-01-14,37291536,1118019,36173517,1477
merchant_002,2025-01-14,37316977,1118775,36198202,1454
merchant_017,2025-01-14,35878608,1075645,34802963,1414
merchant_001,2025-01-14,36729876,1101163,35628713,1443
merchant_011,2025-01-14,38186689,1144836,37041853,1507
merchant_007,2025-01-14,36244707,1086593,35158114,1477
merchant_005,2025-01-14,36395799,1091152,35304647,1451
merchant_003,2025-01-14,36426799,1092110,35334689,1431
merchant_012,2025-01-14,35207962,1055533,34152429,1418
merchant_009,2025-01-14,34566929,1036351,33530578,1366
merchant_014,2025-01-14,36015451,1079776,34935675,1405
merchant_006,2025-01-14,36671239,1099410,35571829,1483
merchant_008,2025-01-14,37187855,1114895,36072960,1486
merchant_015,2025-01-14,33766838,1012334,32754504,1358
merchant_013,2025-01-14,35420474,1061909,34358565,1419
